Car Make,Location,Chassis No,Version/Class,Model Code,Milleage,Engine Size (CC),Engine Code,Drive,Steering,Transmission,External Color,Registration Year/Month,Fuel,Manufacture Year/Month,Price($)
 MITSUBISHI ASX,UNITED KINGDOM,JMF784,MANUAL DIESEL,0,"39,000 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2015/10,Diesel,-,12300
 MITSUBISHI ASX,UNITED KINGDOM,JMF788,AUTOMATIC DIESEL,0,"41,000 mile","2,200cc",-,4wheel drive,Right,Automatic,Silver,2016/3,Diesel,-,15900
 MITSUBISHI ASX,UNITED KINGDOM,JMF790,MANUAL PETROL,0,"24,591 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2016/4,Petrol,-,13900
 MITSUBISHI ASX,UNITED KINGDOM,JMF792,MANUAL PETROL,0,"30,398 mile","1,600cc",-,4wheel drive,Right,Manual,Brown,2016/6,Petrol,-,12200
 MITSUBISHI ASX,UNITED KINGDOM,JMF794,MANUAL DIESEL,0,"34,030 mile","1,600cc",-,4wheel drive,Right,Manual,Red,2016/3,Diesel,-,15200
 MITSUBISHI ASX,UNITED KINGDOM,JMF795,MANUAL DIESEL,0,"21,707 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2016/9,Diesel,-,14700
 MITSUBISHI ASX,UNITED KINGDOM,JMF796,MANUAL DIESEL,0,"32,198 mile","1,600cc",-,4wheel drive,Right,Manual,Gray,2016/7,Diesel,-,13800
 MITSUBISHI ASX,UNITED KINGDOM,JMF797,MANUAL DIESEL,0,"22,944 mile","1,600cc",-,4wheel drive,Right,Manual,White,2016/7,Diesel,-,14300
 MITSUBISHI ASX,UNITED KINGDOM,JMF798,MANUAL DIESEL,0,"49,528 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2016/9,Diesel,-,13800
 MITSUBISHI ASX,UNITED KINGDOM,JMF799,MANUAL DIESEL,0,"11,484 mile","1,600cc",-,4wheel drive,Right,Manual,White,2016/-,Diesel,-,15300
 MITSUBISHI ASX,UNITED KINGDOM,JMF8001,MANUAL DIESEL,0,"40,000 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2016/5,Diesel,-,13500
 MITSUBISHI ASX,UNITED KINGDOM,JMF8002,MANUAL DIESEL,0,"51,875 mile","1,600cc",-,4wheel drive,Right,Manual,White,2016/1,Diesel,-,12100
 MITSUBISHI ASX,UNITED KINGDOM,JMF4006,MANUAL PETROL,0,"15,184 mile","1,600cc",-,4wheel drive,Right,Manual,Brown,2017/12,Petrol,-,15900
 MITSUBISHI ASX,UNITED KINGDOM,JMF4007,MANUAL DIESEL,0,"10,833 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2017/12,Diesel,-,17800
 MITSUBISHI LANCER,Singapore,JMYSRCY1AFU004067,LANCER EX 1.6 AT LED TAIL LAMP,"16-AT
Find parts for this model code","39,000 km","1,590cc",-,2wheel drive,Right,Automatic,Black,2015/5,Petrol,2015/5,64660
 MITSUBISHI DELICA D,OSAKA,CV5W-1101482,2.4 C2 G POWER PACKAGE,"DBA-CV5W
Find parts for this model code","36,594 km","2,350cc",4B12,4wheel drive,Right,Sport AT,Gray,2017/2,Petrol,-,27716
 MITSUBISHI DELICA D,YOKOHAMA,CV1W-1205631,2.2 ACTIV GEAR,"LDA-CV1W
Find parts for this model code","12,000 km","2,300cc",-,4wheel drive,Right,Automatic,Gray,2017/1,Diesel,-,38177
 MITSUBISHI OUTLANDER,Singapore,JMYXTGF3WFZ002122,SKS5480J,"CVT-AWD-SR
Find parts for this model code","37,922 km","2,360cc",-,2wheel drive,Right,Automatic,Gray,2015/4,Petrol,2015/0,10176
 MITSUBISHI LANCER EVOLUTION,YOKOHAMA,CZ4A-0801376,2.0GSRX4WD,"CBA-CZ4A
Find parts for this model code","72,300 km","2,000cc",4B11,4wheel drive,Right,Manual,Red,2015/3,Petrol,-,26785
 MITSUBISHI SHOGUN,UNITED KINGDOM,JMA811,AUTOMATIC DIESEL,0,"63,025 mile","3,200cc",-,4wheel drive,Right,Automatic,Gray,2015/9,Diesel,-,23883
 MITSUBISHI SHOGUN,UNITED KINGDOM,JMA812,AUTOMATIC DIESEL,0,"32,173 mile","3,200cc",-,4wheel drive,Right,Automatic,Black,2015/3,Diesel,-,23995
 MITSUBISHI SHOGUN,UNITED KINGDOM,JMA815,AUTOMATIC DIESEL,0,"71,588 mile","3,200cc",-,4wheel drive,Right,Automatic,White,2016/9,Diesel,-,22766
 MITSUBISHI SHOGUN,UNITED KINGDOM,JMA816,AUTOMATIC DIESEL,0,"14,141 mile","3,200cc",-,4wheel drive,Right,Automatic,Gray,2017/7,Diesel,-,38746
 MITSUBISHI SHOGUN,UNITED KINGDOM,JMA817,AUTOMATIC DIESEL,0,"27,000 mile","3,200cc",-,4wheel drive,Right,Automatic,Gray,2017/9,Diesel,-,33207
 MITSUBISHI ASX,UNITED KINGDOM,JMF1071,Automatic Diesel,0,"34,500 mile","2,200cc",-,4wheel drive,Right,Automatic,White,2015/3,Diesel,-,15396
 MITSUBISHI ASX,UNITED KINGDOM,JMF1072,Automatic Diesel,0,"24,465 mile","2,200cc",-,4wheel drive,Right,Automatic,Black,2015/-,Diesel,-,17238
 MITSUBISHI ASX,UNITED KINGDOM,JMF1073,Manual Petrol,0,"37,731 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2015/3,Petrol,-,11962
 MITSUBISHI ASX,UNITED KINGDOM,JMF1074,Manual Petrol,0,"20,282 mile","1,600cc",-,4wheel drive,Right,Manual,Gray,2015/9,Petrol,-,11645
 MITSUBISHI ASX,UNITED KINGDOM,JMF1077,Manual Petrol,0,"44,585 mile","1,600cc",-,4wheel drive,Right,Manual,Gray,2015/11,Petrol,-,11330
 MITSUBISHI ASX,UNITED KINGDOM,JMF1078,Manual Petrol,0,"27,174 mile","1,600cc",-,4wheel drive,Right,Manual,Silver,2015/4,Petrol,-,12950
 MITSUBISHI ASX,UNITED KINGDOM,JMF1080,Manual Diesel,0,"57,894 mile","1,800cc",-,4wheel drive,Right,Manual,Silver,2015/3,Diesel,-,14178
 MITSUBISHI ASX,UNITED KINGDOM,JMF1085,Manual Diesel,0,"42,907 mile","1,800cc",-,4wheel drive,Right,Manual,White,2015/9,Diesel,-,12699
 MITSUBISHI OUTLANDER,U.S.A,4A4AP3AW5FE042317,ES FWD,"4Cyl
Find parts for this model code","86,660 mile","2,400cc",-,2wheel drive,Left,Manual,Black,2015/-,Petrol,2015/0,12699
